Category: All categories

Month,Groundhog: (United States),Punxsutawney Phil: (United States),Milltown Mel: (United States),Essex Ed: (United States),Chattanooga Chuck: (United States)
2004-01,15,1,0,0,0
2004-02,38,4,0,0,0
2004-03,4,<1,0,<1,0
2004-04,6,<1,0,0,<1
2004-05,7,<1,0,<1,<1
2004-06,8,0,0,0,0
2004-07,7,<1,0,<1,0
2004-08,5,<1,0,<1,0
2004-09,5,<1,0,<1,<1
2004-10,5,<1,0,0,<1
2004-11,4,<1,0,0,0
2004-12,4,<1,0,0,0
2005-01,14,1,0,<1,0
2005-02,55,6,0,0,0
2005-03,4,<1,0,0,<1
2005-04,6,<1,0,0,<1
2005-05,6,<1,0,0,0
2005-06,14,<1,0,0,<1
2005-07,7,<1,0,<1,0
2005-08,5,<1,0,<1,<1
2005-09,5,<1,0,<1,<1
2005-10,4,<1,0,<1,<1
2005-11,3,<1,0,0,0
2005-12,4,<1,0,<1,0
2006-01,13,1,0,0,0
2006-02,47,5,0,<1,<1
2006-03,4,<1,0,<1,<1
2006-04,5,<1,0,<1,<1
2006-05,6,<1,0,<1,0
2006-06,7,<1,0,0,<1
2006-07,7,<1,0,<1,<1
2006-08,5,<1,0,<1,0
2006-09,5,<1,0,<1,<1
2006-10,4,<1,0,<1,0
2006-11,4,<1,0,<1,<1
2006-12,4,<1,0,0,<1
2007-01,14,<1,0,0,0
2007-02,47,6,0,<1,<1
2007-03,4,<1,0,<1,<1
2007-04,4,<1,0,<1,<1
2007-05,6,<1,0,<1,<1
2007-06,7,<1,0,<1,0
2007-07,7,<1,0,<1,<1
2007-08,5,<1,0,<1,<1
2007-09,5,<1,0,<1,<1
2007-10,4,<1,0,<1,<1
2007-11,3,<1,0,0,0
2007-12,3,<1,0,<1,<1
2008-01,13,1,0,<1,<1
2008-02,31,3,0,0,<1
2008-03,4,<1,0,<1,0
2008-04,5,<1,0,<1,<1
2008-05,6,<1,0,<1,<1
2008-06,7,<1,0,<1,<1
2008-07,6,<1,0,<1,<1
2008-08,5,<1,0,<1,<1
2008-09,4,<1,0,<1,<1
2008-10,4,<1,0,<1,<1
2008-11,3,<1,0,<1,0
2008-12,3,<1,0,0,0
2009-01,13,1,0,<1,<1
2009-02,49,6,<1,<1,<1
2009-03,4,<1,0,<1,<1
2009-04,4,<1,0,<1,<1
2009-05,7,<1,0,<1,<1
2009-06,7,<1,0,<1,<1
2009-07,7,<1,0,<1,<1
2009-08,5,<1,0,<1,<1
2009-09,4,<1,0,<1,0
2009-10,4,<1,0,<1,<1
2009-11,3,<1,0,<1,<1
2009-12,3,<1,0,<1,0
2010-01,12,1,0,<1,<1
2010-02,61,11,0,<1,<1
2010-03,4,<1,0,<1,<1
2010-04,5,<1,0,<1,<1
2010-05,6,<1,0,<1,<1
2010-06,7,<1,0,<1,<1
2010-07,6,<1,0,0,<1
2010-08,5,<1,0,<1,<1
2010-09,6,<1,0,<1,<1
2010-10,6,<1,0,<1,<1
2010-11,5,<1,0,<1,<1
