Category: All categories

Month,Groundhog: (United States)
2004-01,15
2004-02,38
2004-03,4
2004-04,6
2004-05,7
2004-06,8
2004-07,7
2004-08,5
2004-09,5
2004-10,5
2004-11,4
2004-12,4
2005-01,14
2005-02,55
2005-03,4
2005-04,6
2005-05,6
2005-06,14
2005-07,7
2005-08,5
2005-09,5
2005-10,4
2005-11,3
2005-12,4
2006-01,13
2006-02,47
2006-03,4
2006-04,5
2006-05,6
2006-06,7
2006-07,7
2006-08,5
2006-09,5
2006-10,4
2006-11,4
2006-12,4
2007-01,14
2007-02,47
2007-03,4
2007-04,4
2007-05,6
2007-06,7
2007-07,7
2007-08,5
2007-09,5
2007-10,4
2007-11,3
2007-12,3
2008-01,13
2008-02,31
2008-03,4
2008-04,5
2008-05,6
2008-06,7
2008-07,6
2008-08,5
2008-09,4
2008-10,4
2008-11,3
2008-12,3
2009-01,13
2009-02,49
2009-03,4
2009-04,4
2009-05,7
2009-06,7
2009-07,7
2009-08,5
2009-09,4
2009-10,4
2009-11,3
2009-12,3
2010-01,12
2010-02,61
2010-03,4
2010-04,5
2010-05,6
2010-06,7
2010-07,6
2010-08,5
2010-09,6
2010-10,6
2010-11,5
2010-12,5
2011-01,15
2011-02,79
2011-03,5
2011-04,5
2011-05,7
2011-06,9
2011-07,8
2011-08,6
2011-09,5
2011-10,5
2011-11,4
2011-12,4
2012-01,12
2012-02,77
2012-03,5
2012-04,5
2012-05,7
2012-06,8
2012-07,8
2012-08,6
2012-09,6
2012-10,5
2012-11,4
2012-12,4
2013-01,12
2013-02,69
2013-03,8
2013-04,6
2013-05,7
2013-06,8
2013-07,8
2013-08,7
2013-09,6
2013-10,5
2013-11,5
2013-12,4
2014-01,13
2014-02,60
2014-03,6
2014-04,6
2014-05,7
2014-06,9
2014-07,9
2014-08,7
2014-09,7
2014-10,5
2014-11,5
2014-12,4
2015-01,11
2015-02,67
2015-03,6
2015-04,6
2015-05,8
2015-06,9
2015-07,8
2015-08,8
2015-09,6
2015-10,6
2015-11,5
2015-12,5
2016-01,11
2016-02,87
2016-03,6
2016-04,6
2016-05,7
2016-06,8
2016-07,8
2016-08,6
2016-09,5
2016-10,5
2016-11,4
2016-12,4
2017-01,13
2017-02,93
2017-03,5
2017-04,6
2017-05,8
2017-06,9
2017-07,8
2017-08,7
2017-09,6
2017-10,5
2017-11,4
2017-12,4
2018-01,16
2018-02,85
2018-03,6
2018-04,6
2018-05,9
2018-06,9
2018-07,10
2018-08,6
2018-09,6
2018-10,5
2018-11,4
2018-12,4
2019-01,13
2019-02,83
2019-03,9
2019-04,9
2019-05,13
2019-06,13
2019-07,9
2019-08,7
2019-09,6
2019-10,5
2019-11,4
2019-12,4
2020-01,20
2020-02,81
2020-03,6
2020-04,11
2020-05,12
2020-06,14
2020-07,12
2020-08,8
2020-09,6
2020-10,5
2020-11,4
2020-12,4
2021-01,11
2021-02,85
2021-03,6
2021-04,6
2021-05,9
2021-06,12
2021-07,10
2021-08,7
2021-09,6
2021-10,5
2021-11,4
2021-12,3
2022-01,13
2022-02,100
2022-03,6
