Category: All categories

Month,Punxsutawney Phil: (United States)
2004-01,5
2004-02,22
2004-03,2
2004-04,1
2004-05,<1
2004-06,0
2004-07,1
2004-08,1
2004-09,1
2004-10,1
2004-11,<1
2004-12,1
2005-01,4
2005-02,36
2005-03,1
2005-04,1
2005-05,1
2005-06,<1
2005-07,<1
2005-08,<1
2005-09,1
2005-10,<1
2005-11,<1
2005-12,<1
2006-01,5
2006-02,28
2006-03,1
2006-04,<1
2006-05,<1
2006-06,<1
2006-07,1
2006-08,<1
2006-09,1
2006-10,1
2006-11,1
2006-12,<1
2007-01,3
2007-02,35
2007-03,1
2007-04,1
2007-05,1
2007-06,<1
2007-07,<1
2007-08,<1
2007-09,<1
2007-10,<1
2007-11,<1
2007-12,<1
2008-01,4
2008-02,19
2008-03,1
2008-04,1
2008-05,1
2008-06,<1
2008-07,<1
2008-08,<1
2008-09,1
2008-10,1
2008-11,1
2008-12,1
2009-01,5
2009-02,34
2009-03,1
2009-04,1
2009-05,1
2009-06,1
2009-07,<1
2009-08,1
2009-09,1
2009-10,1
2009-11,1
2009-12,1
2010-01,6
2010-02,65
2010-03,2
2010-04,1
2010-05,1
2010-06,1
2010-07,<1
2010-08,1
2010-09,<1
2010-10,<1
2010-11,<1
2010-12,<1
2011-01,4
2011-02,71
2011-03,3
2011-04,2
2011-05,1
2011-06,1
2011-07,1
2011-08,<1
2011-09,<1
2011-10,<1
2011-11,<1
2011-12,<1
2012-01,3
2012-02,54
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,<1
2012-09,<1
2012-10,1
2012-11,<1
2012-12,1
2013-01,3
2013-02,48
2013-03,15
2013-04,2
2013-05,1
2013-06,1
2013-07,1
2013-08,<1
2013-09,<1
2013-10,1
2013-11,<1
2013-12,1
2014-01,5
2014-02,39
2014-03,2
2014-04,1
2014-05,1
2014-06,1
2014-07,1
2014-08,1
2014-09,1
2014-10,1
2014-11,1
2014-12,<1
2015-01,3
2015-02,44
2015-03,3
2015-04,1
2015-05,1
2015-06,1
2015-07,<1
2015-08,<1
2015-09,1
2015-10,1
2015-11,1
2015-12,1
2016-01,3
2016-02,55
2016-03,2
2016-04,1
2016-05,1
2016-06,<1
2016-07,1
2016-08,<1
2016-09,1
2016-10,<1
2016-11,1
2016-12,1
2017-01,3
2017-02,51
2017-03,2
2017-04,1
2017-05,1
2017-06,1
2017-07,1
2017-08,1
2017-09,1
2017-10,<1
2017-11,1
2017-12,1
2018-01,4
2018-02,51
2018-03,3
2018-04,2
2018-05,1
2018-06,1
2018-07,1
2018-08,1
2018-09,1
2018-10,1
2018-11,1
2018-12,1
2019-01,3
2019-02,48
2019-03,3
2019-04,1
2019-05,1
2019-06,1
2019-07,2
2019-08,1
2019-09,1
2019-10,1
2019-11,1
2019-12,1
2020-01,4
2020-02,38
2020-03,2
2020-04,1
2020-05,1
2020-06,1
2020-07,1
2020-08,1
2020-09,1
2020-10,1
2020-11,1
2020-12,1
2021-01,3
2021-02,51
2021-03,2
2021-04,1
2021-05,1
2021-06,1
2021-07,1
2021-08,1
2021-09,1
2021-10,<1
2021-11,1
2021-12,1
2022-01,3
2022-02,100
2022-03,2
