Category: All categories

Month,Essex Ed: (United States)
2004-01,0
2004-02,0
2004-03,72
2004-04,0
2004-05,100
2004-06,0
2004-07,53
2004-08,47
2004-09,91
2004-10,0
2004-11,0
2004-12,0
2005-01,37
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,35
2005-08,98
2005-09,30
2005-10,28
2005-11,0
2005-12,55
2006-01,0
2006-02,25
2006-03,22
2006-04,24
2006-05,22
2006-06,0
2006-07,23
2006-08,21
2006-09,42
2006-10,58
2006-11,38
2006-12,0
2007-01,0
2007-02,54
2007-03,48
2007-04,16
2007-05,30
2007-06,16
2007-07,15
2007-08,14
2007-09,43
2007-10,38
2007-11,0
2007-12,40
2008-01,23
2008-02,0
2008-03,47
2008-04,35
2008-05,59
2008-06,37
2008-07,24
2008-08,59
2008-09,22
2008-10,20
2008-11,11
2008-12,0
2009-01,41
2009-02,86
2009-03,39
2009-04,39
2009-05,20
2009-06,41
2009-07,20
2009-08,10
2009-09,47
2009-10,36
2009-11,37
2009-12,9
2010-01,43
2010-02,27
2010-03,32
2010-04,25
2010-05,18
2010-06,18
2010-07,0
2010-08,51
2010-09,35
2010-10,14
2010-11,14
2010-12,34
2011-01,21
2011-02,23
2011-03,21
2011-04,27
2011-05,31
2011-06,27
2011-07,11
2011-08,25
2011-09,15
2011-10,37
2011-11,19
2011-12,9
2012-01,30
2012-02,56
2012-03,29
2012-04,22
2012-05,29
2012-06,30
2012-07,21
2012-08,20
2012-09,12
2012-10,15
2012-11,4
2012-12,15
2013-01,28
2013-02,37
2013-03,27
2013-04,10
2013-05,24
2013-06,33
2013-07,32
2013-08,21
2013-09,31
2013-10,23
2013-11,17
2013-12,14
2014-01,16
2014-02,38
2014-03,38
2014-04,30
2014-05,7
2014-06,23
2014-07,11
2014-08,26
2014-09,18
2014-10,27
2014-11,33
2014-12,11
2015-01,35
2015-02,40
2015-03,11
2015-04,25
2015-05,26
2015-06,27
2015-07,19
2015-08,26
2015-09,7
2015-10,20
2015-11,25
2015-12,24
2016-01,8
2016-02,35
2016-03,11
2016-04,28
2016-05,29
2016-06,18
2016-07,21
2016-08,15
2016-09,17
2016-10,22
2016-11,22
2016-12,19
2017-01,10
2017-02,49
2017-03,32
2017-04,5
2017-05,11
2017-06,31
2017-07,34
2017-08,13
2017-09,23
2017-10,15
2017-11,26
2017-12,18
2018-01,25
2018-02,29
2018-03,12
2018-04,25
2018-05,22
2018-06,13
2018-07,13
2018-08,18
2018-09,16
2018-10,10
2018-11,10
2018-12,18
2019-01,27
2019-02,21
2019-03,15
2019-04,8
2019-05,18
2019-06,8
2019-07,13
2019-08,7
2019-09,17
2019-10,18
2019-11,19
2019-12,19
2020-01,17
2020-02,14
2020-03,8
2020-04,16
2020-05,16
2020-06,19
2020-07,9
2020-08,19
2020-09,13
2020-10,24
2020-11,16
2020-12,14
2021-01,7
2021-02,26
2021-03,7
2021-04,15
2021-05,2
2021-06,7
2021-07,25
2021-08,22
2021-09,13
2021-10,10
2021-11,5
2021-12,10
2022-01,15
2022-02,35
2022-03,28
