Category: All categories

Month,Chattanooga Chuck: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,61
2004-05,55
2004-06,0
2004-07,0
2004-08,0
2004-09,50
2004-10,51
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,37
2005-04,42
2005-05,0
2005-06,39
2005-07,0
2005-08,72
2005-09,33
2005-10,62
2005-11,0
2005-12,0
2006-01,0
2006-02,56
2006-03,50
2006-04,26
2006-05,0
2006-06,26
2006-07,25
2006-08,0
2006-09,23
2006-10,0
2006-11,21
2006-12,21
2007-01,0
2007-02,20
2007-03,36
2007-04,54
2007-05,33
2007-06,0
2007-07,50
2007-08,16
2007-09,32
2007-10,28
2007-11,0
2007-12,44
2008-01,26
2008-02,54
2008-03,0
2008-04,51
2008-05,26
2008-06,83
2008-07,26
2008-08,13
2008-09,24
2008-10,22
2008-11,0
2008-12,0
2009-01,34
2009-02,12
2009-03,32
2009-04,44
2009-05,33
2009-06,34
2009-07,77
2009-08,11
2009-09,0
2009-10,50
2009-11,20
2009-12,0
2010-01,29
2010-02,50
2010-03,36
2010-04,38
2010-05,49
2010-06,50
2010-07,17
2010-08,58
2010-09,16
2010-10,47
2010-11,31
2010-12,31
2011-01,84
2011-02,58
2011-03,35
2011-04,12
2011-05,24
2011-06,30
2011-07,66
2011-08,56
2011-09,50
2011-10,42
2011-11,32
2011-12,61
2012-01,72
2012-02,87
2012-03,42
2012-04,25
2012-05,32
2012-06,5
2012-07,47
2012-08,36
2012-09,27
2012-10,25
2012-11,39
2012-12,42
2013-01,16
2013-02,68
2013-03,46
2013-04,43
2013-05,35
2013-06,16
2013-07,44
2013-08,27
2013-09,46
2013-10,48
2013-11,46
2013-12,34
2014-01,47
2014-02,43
2014-03,25
2014-04,41
2014-05,36
2014-06,40
2014-07,47
2014-08,46
2014-09,24
2014-10,23
2014-11,29
2014-12,24
2015-01,35
2015-02,83
2015-03,52
2015-04,41
2015-05,42
2015-06,52
2015-07,47
2015-08,33
2015-09,52
2015-10,38
2015-11,32
2015-12,23
2016-01,35
2016-02,76
2016-03,49
2016-04,29
2016-05,39
2016-06,43
2016-07,27
2016-08,34
2016-09,48
2016-10,35
2016-11,34
2016-12,30
2017-01,48
2017-02,100
2017-03,55
2017-04,29
2017-05,39
2017-06,32
2017-07,47
2017-08,36
2017-09,35
2017-10,28
2017-11,17
2017-12,58
2018-01,58
2018-02,72
2018-03,36
2018-04,26
2018-05,31
2018-06,41
2018-07,44
2018-08,37
2018-09,29
2018-10,31
2018-11,26
2018-12,26
2019-01,33
2019-02,73
2019-03,30
2019-04,9
2019-05,34
2019-06,35
2019-07,23
2019-08,30
2019-09,35
2019-10,18
2019-11,18
2019-12,10
2020-01,20
2020-02,28
2020-03,14
2020-04,13
2020-05,18
2020-06,24
2020-07,14
2020-08,9
2020-09,12
2020-10,19
2020-11,8
2020-12,13
2021-01,31
2021-02,52
2021-03,31
2021-04,11
2021-05,11
2021-06,8
2021-07,16
2021-08,22
2021-09,29
2021-10,26
2021-11,26
2021-12,14
2022-01,28
2022-02,61
2022-03,53
