Category: All categories

Week,Groundhog: (United States),Punxsutawney Phil: (United States),Milltown Mel: (United States),Essex Ed: (United States),Chattanooga Chuck: (United States)
2021-03-28,1,<1,0,0,<1
2021-04-04,2,<1,0,<1,<1
2021-04-11,2,<1,0,<1,<1
2021-04-18,2,<1,0,<1,<1
2021-04-25,2,<1,0,<1,<1
2021-05-02,2,<1,0,0,<1
2021-05-09,2,<1,0,0,<1
2021-05-16,2,<1,0,0,<1
2021-05-23,3,<1,0,<1,<1
2021-05-30,3,<1,0,0,0
2021-06-06,3,<1,0,0,<1
2021-06-13,3,<1,0,<1,<1
2021-06-20,3,<1,0,<1,<1
2021-06-27,3,<1,0,<1,<1
2021-07-04,3,<1,0,0,<1
2021-07-11,3,<1,0,<1,<1
2021-07-18,3,<1,0,<1,0
2021-07-25,2,<1,0,<1,<1
2021-08-01,2,<1,0,<1,<1
2021-08-08,2,<1,0,<1,<1
2021-08-15,2,<1,0,<1,<1
2021-08-22,2,<1,0,<1,<1
2021-08-29,2,<1,0,<1,0
2021-09-05,2,<1,0,<1,<1
2021-09-12,2,<1,0,<1,<1
2021-09-19,2,<1,0,0,<1
2021-09-26,2,<1,0,<1,<1
2021-10-03,1,<1,0,0,<1
2021-10-10,1,<1,0,<1,0
2021-10-17,1,<1,0,<1,0
2021-10-24,1,<1,0,0,<1
2021-10-31,1,<1,0,<1,<1
2021-11-07,1,<1,0,<1,<1
2021-11-14,1,<1,0,0,<1
2021-11-21,1,<1,0,0,<1
2021-11-28,1,<1,0,<1,<1
2021-12-05,1,<1,0,<1,0
2021-12-12,1,<1,0,0,0
2021-12-19,1,<1,0,<1,<1
2021-12-26,1,<1,0,<1,<1
2022-01-02,1,<1,0,<1,<1
2022-01-09,2,<1,0,<1,<1
2022-01-16,2,<1,0,0,<1
2022-01-23,5,<1,<1,<1,<1
2022-01-30,100,17,1,<1,<1
2022-02-06,7,1,<1,<1,<1
2022-02-13,3,<1,<1,<1,<1
2022-02-20,2,<1,<1,<1,<1
2022-02-27,2,<1,<1,<1,<1
2022-03-06,2,<1,<1,<1,<1
2022-03-13,2,<1,0,<1,<1
2022-03-20,2,<1,0,0,0
